ClubDimKey,ClubTeamName,Sport,CompetitionLevel,SurfaceType
3210,Bella Di Lamezia Terme Hoops,Basketball,Amateur,Wooden Floor
3211,Santa Venerina Academy,Tennis,Amateur,Clay
3212,Pie' Falcade BC,Basketball,Amateur,Outdoor Court
3213,Halberstadt Tennis Club,Tennis,Amateur,Clay
3214,Ilmenau BC,Boxing,Amateur,Ring
3215,Göttingen Gym,Boxing,Amateur,Training Mat
3216,Corvaro Basketball Club,Basketball,Amateur,Outdoor Court
3217,Shirleyport Gym,Boxing,Amateur,Ring
3218,Egna Boxing Club,Boxing,Amateur,Gym Floor
3219,South Kieranville Boxing Club,Boxing,Amateur,Training Mat
3220,Portula Boxing Club,Boxing,Amateur,Gym Floor
3221,Collemaggiore Stars,Basketball,Amateur,Wooden Floor
3222,Predoi BC,Basketball,Amateur,Indoor Court
3223,Torrenova City,Football,Amateur,Indoor Court
3224,Sant'Abbondio Academy,Tennis,Amateur,Grass
3225,South Deniseport TC,Tennis,Amateur,Hard Court
3226,North Gerardview AC,Athletics,Amateur,Field
3227,Munoz-sur-Dupuy Hoops,Basketball,Amateur,Indoor Court
3228,Lisio Rovers,Football,Amateur,Artificial Turf
3229,Guadalajara City,Football,Amateur,Grass
3230,Bad Kissingen Boxing Club,Boxing,Professional,Training Mat
3231,Jüterbog AC,Athletics,Professional,Road
3232,Nicolefurt Athletic Club,Athletics,Amateur,Indoor Track
3233,Légernec AC,Athletics,Amateur,Road
3234,Benard United,Football,Amateur,Artificial Turf
3235,North Sarahville BC,Boxing,Amateur,Training Mat
3236,La Rioja BC,Boxing,Amateur,Gym Floor
3237,Baleares Athletic Club,Athletics,Professional,Road
3238,Massa Fermana Stars,Basketball,Amateur,Wooden Floor
3239,Salo' Tennis Club,Tennis,Amateur,Clay
3240,North Anthony AC,Athletics,Professional,Indoor Track
3241,San Roberto Track Club,Athletics,Professional,Track
3242,Gifhorn Basketball Club,Basketball,Amateur,Outdoor Court
3243,Blanchard Boxing Club,Boxing,Amateur,Ring
3244,Dannytown Track Club,Athletics,Amateur,Field
3245,Raymondtown Athletic,Football,Professional,Artificial Turf
3246,Sainte Georges Hoops,Basketball,Professional,Indoor Court
3247,Montedoro Hoops,Basketball,Professional,Indoor Court
3248,Ceuta Track Club,Athletics,Amateur,Indoor Track
3249,Edwardsland AC,Athletics,Professional,Road
3250,Fezzano Basketball Club,Basketball,Amateur,Wooden Floor
3251,Abbieborough BC,Basketball,Amateur,Indoor Court
3252,North Melissafurt Academy,Tennis,Amateur,Clay
3253,Salamanca FC,Football,Amateur,Indoor Court
3254,Lake Joe Hoops,Basketball,Amateur,Outdoor Court
3255,Uelzen Rovers,Football,Amateur,Grass
3256,Tobia Athletic,Football,Amateur,Grass
3257,Heinsberg Gym,Boxing,Amateur,Gym Floor
3258,Guilbert-la-Forêt Academy,Tennis,Amateur,Clay
3259,Da Silvaboeuf Stars,Basketball,Amateur,Indoor Court
3260,Gerolzhofen TC,Tennis,Professional,Indoor Court
3261,Teruel Stars,Basketball,Professional,Indoor Court
3262,Thomasbury Boxing Club,Boxing,Amateur,Gym Floor
3263,Mira Taglio AC,Athletics,Amateur,Road
3264,Sparanise Rovers,Football,Amateur,Indoor Court
3265,Frontone Athletic,Football,Professional,Indoor Court
3266,Saint Maryse Academy,Tennis,Amateur,Grass
3267,Gera Boxing Club,Boxing,Amateur,Training Mat
3268,Zamora Tennis Club,Tennis,Professional,Indoor Court
3269,Burgos Tennis Club,Tennis,Amateur,Clay
3270,Illertissen BC,Boxing,Amateur,Ring
3271,Marchand-la-Forêt Boxing Club,Boxing,Amateur,Training Mat
3272,Alicante Track Club,Athletics,Amateur,Indoor Track
3273,Badibling AC,Athletics,Amateur,Indoor Track
3274,Alicante Tennis Club,Tennis,Amateur,Grass
3275,Mettmann Athletic Club,Athletics,Amateur,Indoor Track
3276,Mitchellton Hoops,Basketball,Professional,Indoor Court
3277,Gillet-les-Bains Tennis Club,Tennis,Professional,Grass
3278,Vigarano Mainarda Rovers,Football,Amateur,Artificial Turf
3279,Borken Track Club,Athletics,Amateur,Field
3280,Málaga Basketball Club,Basketball,Amateur,Outdoor Court
3281,Osterode am Harz Basketball Club,Basketball,Amateur,Outdoor Court
3282,Salamanca Boxing Club,Boxing,Amateur,Training Mat
3283,Patrickland Gym,Boxing,Professional,Training Mat
3284,Hamburg Tennis Club,Tennis,Amateur,Grass
3285,Port Neiltown BC,Boxing,Amateur,Ring
3286,La Coruña BC,Basketball,Amateur,Indoor Court
3287,Williamsview Academy,Tennis,Professional,Indoor Court
3288,Sainte Maryse TC,Tennis,Amateur,Hard Court
3289,North Jake BC,Boxing,Amateur,Gym Floor
3290,Ciudad TC,Tennis,Amateur,Indoor Court
3291,Waren Athletic Club,Athletics,Professional,Track
3292,West Michelle FC,Football,Amateur,Grass
3293,Hagenow Tennis Club,Tennis,Amateur,Hard Court
3294,Mohamedmouth Academy,Tennis,Amateur,Clay
3295,Salamanca Tennis Club,Tennis,Professional,Hard Court
3296,Poggio Torriana Track Club,Athletics,Amateur,Track
3297,Maggio BC,Basketball,Professional,Indoor Court
3298,Castellana Academy,Tennis,Amateur,Clay
3299,Wanzleben BC,Boxing,Professional,Gym Floor
3300,Bad Kissingen Academy,Tennis,Amateur,Clay
3301,Port Jillborough FC,Football,Amateur,Artificial Turf
3302,Hollymouth Track Club,Athletics,Professional,Track
3303,Albert-sur-François Track Club,Athletics,Professional,Road
3304,Muraglia City,Football,Professional,Grass
3305,Merseburg Basketball Club,Basketball,Amateur,Indoor Court
3306,Huesca Boxing Club,Boxing,Amateur,Ring
3307,West Guy Basketball Club,Basketball,Amateur,Outdoor Court
3308,Bad Kissingen Gym,Boxing,Amateur,Training Mat
3309,Thomasshire FC,Football,Amateur,Indoor Court
3310,Denis Athletic,Football,Amateur,Grass
3311,Fanano Academy,Tennis,Amateur,Grass
3312,San Lorenzo Di Moriano Basketball Club,Basketball,Amateur,Outdoor Court
3313,Mendès Tennis Club,Tennis,Amateur,Indoor Court
3314,Brettshire Hoops,Basketball,Professional,Indoor Court
3315,Ciudad BC,Boxing,Amateur,Ring
3316,Casalmaggiore TC,Tennis,Amateur,Clay
3317,Evrard-sur-Pereira Athletic Club,Athletics,Amateur,Track
3318,Hollyburgh BC,Basketball,Amateur,Indoor Court
3319,Forst Stars,Basketball,Professional,Indoor Court
3320,Fulda TC,Tennis,Amateur,Hard Court
3321,Ragazzola Academy,Tennis,Professional,Indoor Court
3322,Matthewsview BC,Boxing,Professional,Training Mat
3323,Hamburg Academy,Tennis,Amateur,Grass
3324,Aremogna Boxing Club,Boxing,Professional,Training Mat
3325,Ávila Boxing Club,Boxing,Amateur,Ring
3326,Spinadesco Athletic Club,Athletics,Professional,Indoor Track
3327,Las Palmas Stars,Basketball,Professional,Outdoor Court
3328,Granaglione Rovers,Football,Amateur,Artificial Turf
3329,Illertissen Basketball Club,Basketball,Amateur,Indoor Court
3330,Sainte Charles-la-Forêt Track Club,Athletics,Amateur,Indoor Track
3331,Martinengo BC,Basketball,Professional,Wooden Floor
3332,Lirone Track Club,Athletics,Amateur,Road
3333,Ponteginori Athletic Club,Athletics,Amateur,Road
3334,Lake Emily Hoops,Basketball,Professional,Indoor Court
3335,Gallet Boxing Club,Boxing,Amateur,Gym Floor
3336,Pollone Academy,Tennis,Amateur,Grass
3337,Navarra BC,Basketball,Amateur,Outdoor Court
3338,Burgos Rovers,Football,Amateur,Grass
3339,Demmin Basketball Club,Basketball,Amateur,Outdoor Court
3340,South Zoe Tennis Club,Tennis,Professional,Indoor Court
3341,Bad Kissingen Academy,Tennis,Amateur,Grass
3342,Girona United,Football,Amateur,Grass
3343,Traceymouth Track Club,Athletics,Amateur,Field
3344,Reynaud Boxing Club,Boxing,Amateur,Gym Floor
3345,Lake Kelly Boxing Club,Boxing,Amateur,Training Mat
3346,Gardelegen Tennis Club,Tennis,Amateur,Grass
3347,Robin Track Club,Athletics,Amateur,Indoor Track
3348,Pieve Terzagni FC,Football,Amateur,Grass
3349,Asturias Track Club,Athletics,Professional,Field
3350,Viserba Track Club,Athletics,Amateur,Indoor Track
3351,Zamora Gym,Boxing,Amateur,Gym Floor
3352,Martinberg TC,Tennis,Amateur,Hard Court
3353,Pontevedra Boxing Club,Boxing,Amateur,Ring
3354,Rémy Hoops,Basketball,Amateur,Indoor Court
3355,Dieburg Gym,Boxing,Amateur,Training Mat
3356,Hannoversch Münden Athletic Club,Athletics,Amateur,Road
3357,Canzolino Academy,Tennis,Amateur,Clay
3358,Ludwigslust BC,Boxing,Professional,Training Mat
3359,Stade Stars,Basketball,Professional,Indoor Court
3360,Hannoversch Münden Academy,Tennis,Amateur,Hard Court
3361,Conversano Athletic Club,Athletics,Professional,Track
3362,Wittstock AC,Athletics,Professional,Road
3363,Mary-sur-Mer BC,Basketball,Amateur,Outdoor Court
3364,Wertingen AC,Athletics,Professional,Field
3365,Miltenberg Tennis Club,Tennis,Amateur,Hard Court
3366,Helenmouth AC,Athletics,Amateur,Field
3367,Tarragona Track Club,Athletics,Professional,Field
3368,Stevenbury Athletic Club,Athletics,Amateur,Field
3369,Mistrymouth Gym,Boxing,Professional,Gym Floor
3370,Francesmouth Gym,Boxing,Amateur,Training Mat
3371,Mozzanica Track Club,Athletics,Professional,Road
3372,Nigelside BC,Basketball,Professional,Wooden Floor
3373,McDonaldfurt Rovers,Football,Professional,Grass
3374,Rockenhausen Hoops,Basketball,Amateur,Indoor Court
3375,PottierBourg BC,Basketball,Professional,Wooden Floor
3376,Alessano BC,Boxing,Professional,Training Mat
3377,Clerc-les-Bains AC,Athletics,Amateur,Indoor Track
3378,Lippstadt Boxing Club,Boxing,Amateur,Gym Floor
3379,Fischer City,Football,Amateur,Grass
3380,Port Vanessaberg Stars,Basketball,Amateur,Indoor Court
3381,Melle Athletic Club,Athletics,Professional,Track
3382,Frattamaggiore Tennis Club,Tennis,Amateur,Grass
3383,Lake Danny TC,Tennis,Amateur,Clay
3384,Günzburg Basketball Club,Basketball,Amateur,Outdoor Court
3385,Schleis AC,Athletics,Professional,Field
3386,San Martino Sulla Marrucina BC,Basketball,Amateur,Outdoor Court
3387,Navarra BC,Boxing,Amateur,Ring
3388,Le Moline Tennis Club,Tennis,Amateur,Indoor Court
3389,Wolfach Academy,Tennis,Amateur,Grass
3390,Toledo BC,Boxing,Professional,Ring
3391,Saint Julie Athletic,Football,Amateur,Indoor Court
3392,Montecastelli Pisano Rovers,Football,Amateur,Artificial Turf
3393,Lemaire-sur-Guillaume Athletic,Football,Amateur,Indoor Court
3394,Saint Yvesnec Athletic Club,Athletics,Amateur,Field
3395,Calau Academy,Tennis,Amateur,Clay
3396,Riesa Hoops,Basketball,Amateur,Outdoor Court
3397,Ávila TC,Tennis,Amateur,Indoor Court
3398,Barcelona Track Club,Athletics,Amateur,Road
3399,Lake Sam BC,Boxing,Amateur,Training Mat
3400,South Rosie Boxing Club,Boxing,Professional,Ring
3401,San Nicola Baronia BC,Basketball,Professional,Wooden Floor
3402,Harristown Basketball Club,Basketball,Amateur,Indoor Court
3403,Hebert-sur-Daniel Academy,Tennis,Amateur,Indoor Court
3404,Kamenz Track Club,Athletics,Amateur,Track
3405,Arnaud-les-Bains Track Club,Athletics,Amateur,Road
3406,Bad Freienwalde Basketball Club,Basketball,Professional,Wooden Floor
3407,Lake Ryanmouth Hoops,Basketball,Amateur,Indoor Court
3408,Taureana Boxing Club,Boxing,Amateur,Ring
3409,Ciudad FC,Football,Amateur,Artificial Turf
3410,Badajoz BC,Basketball,Professional,Outdoor Court
3411,Saint MargueriteVille FC,Football,Amateur,Artificial Turf
3412,Waldmünchen Boxing Club,Boxing,Amateur,Training Mat
3413,Hollyside BC,Boxing,Professional,Training Mat
3414,Moreno-sur-Becker Track Club,Athletics,Amateur,Field
3415,Massa Macinaia Athletic,Football,Professional,Artificial Turf
3416,Greenport Athletic Club,Athletics,Professional,Field
3417,Port Graemestad Track Club,Athletics,Amateur,Road
3418,Port Holly BC,Boxing,Amateur,Gym Floor
3419,Forchheim BC,Boxing,Professional,Training Mat
3420,Collinshaven BC,Boxing,Professional,Gym Floor
3421,Lake Louis Athletic Club,Athletics,Amateur,Road
3422,Starnberg Track Club,Athletics,Amateur,Road
3423,Badajoz Tennis Club,Tennis,Amateur,Grass
3424,Huesca Rovers,Football,Professional,Indoor Court
3425,Torrevecchia Pia Academy,Tennis,Professional,Clay
3426,Hoyerswerda Hoops,Basketball,Amateur,Outdoor Court
3427,Soest Basketball Club,Basketball,Professional,Indoor Court
3428,Guillon-les-Bains Tennis Club,Tennis,Professional,Hard Court
3429,Bergotto Gym,Boxing,Professional,Gym Floor
3430,Rosenheim Athletic,Football,Amateur,Grass
3431,Hainichen Rovers,Football,Amateur,Artificial Turf
3432,Bischofswerda United,Football,Professional,Indoor Court
3433,Brandenburg Academy,Tennis,Amateur,Indoor Court
3434,Duhamel-sur-Clerc Hoops,Basketball,Professional,Wooden Floor
3435,Specchia BC,Basketball,Amateur,Outdoor Court
3436,Alicante BC,Basketball,Professional,Indoor Court
3437,Artogne Hoops,Basketball,Amateur,Outdoor Court
3438,Pramaggiore FC,Football,Amateur,Indoor Court
3439,East Mariabury TC,Tennis,Amateur,Clay
3440,Norden Rovers,Football,Amateur,Artificial Turf
3441,Naila Rovers,Football,Amateur,Grass
3442,Mortizza Gym,Boxing,Professional,Gym Floor
3443,Lake George BC,Basketball,Professional,Outdoor Court
3444,Asturias Gym,Boxing,Professional,Training Mat
3445,Mullernec Gym,Boxing,Amateur,Gym Floor
3446,Guibert-sur-Pinto BC,Basketball,Amateur,Indoor Court
3447,Vitigliano Tennis Club,Tennis,Amateur,Hard Court
3448,Córdoba Athletic,Football,Amateur,Artificial Turf
3449,Hohenmölsen Academy,Tennis,Amateur,Clay
3450,Hansestadttralsund Academy,Tennis,Amateur,Hard Court
3451,Lake Kerry City,Football,Amateur,Grass
3452,Clarkmouth Athletic Club,Athletics,Amateur,Field
3453,Sainte AgnèsBourg Stars,Basketball,Amateur,Indoor Court
3454,Concerviano United,Football,Professional,Grass
3455,Gosselin BC,Basketball,Professional,Outdoor Court
3456,Bodin Tennis Club,Tennis,Professional,Indoor Court
3457,Asturias Basketball Club,Basketball,Amateur,Outdoor Court
3458,Bautzen TC,Tennis,Professional,Grass
3459,Duval-la-Forêt Athletic Club,Athletics,Amateur,Field
3460,Mitchellshire Rovers,Football,Professional,Indoor Court
3461,Guadalajara Track Club,Athletics,Amateur,Road
3462,Geithain Stars,Basketball,Amateur,Wooden Floor
3463,Ahmedport Track Club,Athletics,Professional,Road
3464,Lake Valerieside Academy,Tennis,Professional,Hard Court
3465,Lama Di Setta Gym,Boxing,Professional,Gym Floor
3466,Lisaton Athletic,Football,Amateur,Grass
3467,Santa Cruz de Tenerife Athletic Club,Athletics,Amateur,Road
3468,Faivredan Track Club,Athletics,Amateur,Indoor Track
3469,Staßfurt Stars,Basketball,Amateur,Wooden Floor
3470,Jülich BC,Boxing,Professional,Training Mat
3471,ValetteBourg Athletic,Football,Amateur,Indoor Court
3472,Asturias Athletic Club,Athletics,Amateur,Road
3473,Balvano Rovers,Football,Amateur,Artificial Turf
3474,Pontevedra Stars,Basketball,Professional,Wooden Floor
3475,Chiavano TC,Tennis,Amateur,Grass
3476,Leclercqnec TC,Tennis,Amateur,Grass
3477,Lucas-sur-Le Roux BC,Boxing,Amateur,Ring
3478,Ourense United,Football,Amateur,Indoor Court
3479,Battendieri Academy,Tennis,Amateur,Indoor Court
3480,South Victorberg Athletic Club,Athletics,Amateur,Road
3481,Ferreira BC,Basketball,Amateur,Wooden Floor
3482,Verano Track Club,Athletics,Professional,Road
3483,Cavagnano City,Football,Amateur,Grass
3484,Quintano AC,Athletics,Amateur,Indoor Track
3485,Málaga BC,Basketball,Amateur,Outdoor Court
3486,Aicurzio Track Club,Athletics,Amateur,Track
3487,Kitzingen Athletic,Football,Professional,Artificial Turf
3488,Ali' Terme Hoops,Basketball,Professional,Outdoor Court
3489,Melilla Boxing Club,Boxing,Professional,Gym Floor
3490,Guillon-sur-Carpentier Tennis Club,Tennis,Amateur,Indoor Court
3491,Santa Cruz de Tenerife Basketball Club,Basketball,Amateur,Wooden Floor
3492,Saint Suzanne BC,Basketball,Professional,Indoor Court
3493,Lisio BC,Basketball,Amateur,Indoor Court
3494,Granada Athletic Club,Athletics,Professional,Road
3495,New Stewart TC,Tennis,Amateur,Clay
3496,Schlüchtern Academy,Tennis,Amateur,Hard Court
3497,Ruizdan BC,Boxing,Professional,Training Mat
3498,Delaunay BC,Basketball,Amateur,Indoor Court
3499,Dias Track Club,Athletics,Professional,Indoor Track
3500,Olpe Tennis Club,Tennis,Amateur,Hard Court
3501,Teana Tennis Club,Tennis,Professional,Hard Court
3502,Ianbury BC,Boxing,Professional,Ring
3503,Castello Di Annone City,Football,Professional,Grass
3504,Marques Boxing Club,Boxing,Professional,Training Mat
3505,Pegnitz Rovers,Football,Amateur,Grass
3506,Luckau Tennis Club,Tennis,Amateur,Clay
3507,Melilla Hoops,Basketball,Amateur,Outdoor Court
3508,Sainte Sophienec Stars,Basketball,Amateur,Outdoor Court
3509,Sainte Raymond TC,Tennis,Amateur,Hard Court
3510,Taylorborough United,Football,Amateur,Indoor Court
3511,Arpuilles Boxing Club,Boxing,Amateur,Gym Floor
3512,Huesca Track Club,Athletics,Amateur,Indoor Track
3513,Jasonland FC,Football,Amateur,Grass
3514,Christopherport AC,Athletics,Amateur,Road
3515,Zamora Athletic Club,Athletics,Amateur,Field
3516,Segovia Boxing Club,Boxing,Amateur,Gym Floor
3517,Joycehaven Tennis Club,Tennis,Amateur,Indoor Court
3518,HardyVille Basketball Club,Basketball,Amateur,Indoor Court
3519,Backnang Academy,Tennis,Professional,Hard Court
3520,Grimma TC,Tennis,Amateur,Clay
3521,Gerolzhofen Gym,Boxing,Amateur,Training Mat
3522,Oberau/Bozen FC,Football,Professional,Indoor Court
3523,Civitaquana AC,Athletics,Amateur,Track
3524,Lobenstein Basketball Club,Basketball,Amateur,Outdoor Court
3525,Sainte Hélène Boxing Club,Boxing,Amateur,Gym Floor
3526,Ponte Arche Gym,Boxing,Amateur,Gym Floor
3527,Briand Track Club,Athletics,Amateur,Track
3528,Wilsontown City,Football,Amateur,Indoor Court
3529,Stade United,Football,Amateur,Artificial Turf
3530,Parkermouth BC,Boxing,Amateur,Ring
3531,New Sylviachester Stars,Basketball,Professional,Indoor Court
3532,Ferrand Academy,Tennis,Amateur,Grass
3533,Lake Brian AC,Athletics,Amateur,Track
3534,Murcia Athletic Club,Athletics,Amateur,Field
3535,Emmendingen Boxing Club,Boxing,Amateur,Ring
3536,New Leonfort City,Football,Amateur,Indoor Court
3537,Lleida Athletic Club,Athletics,Amateur,Field
3538,Pontevedra Athletic Club,Athletics,Amateur,Road
3539,Jennaton Athletic Club,Athletics,Amateur,Field
3540,Borna Basketball Club,Basketball,Amateur,Indoor Court
3541,Lugo Athletic Club,Athletics,Professional,Track
3542,Scillichenti Boxing Club,Boxing,Amateur,Ring
3543,Roche-sur-Lesage Athletic Club,Athletics,Amateur,Indoor Track
3544,Kulmbach TC,Tennis,Amateur,Hard Court
3545,Hernandezboeuf Hoops,Basketball,Professional,Wooden Floor
3546,Sesto Fiorentino Tennis Club,Tennis,Professional,Grass
3547,Gilbert-sur-Pichon BC,Basketball,Amateur,Wooden Floor
3548,Saint Valériedan Academy,Tennis,Professional,Clay
3549,Roburent Athletic Club,Athletics,Amateur,Indoor Track
3550,Lake Deborah City,Football,Amateur,Indoor Court
3551,Moron AC,Athletics,Professional,Indoor Track
3552,Valladolid AC,Athletics,Professional,Indoor Track
3553,Ciudad AC,Athletics,Amateur,Indoor Track
3554,Schmitt BC,Basketball,Amateur,Wooden Floor
3555,Kaiserslautern Boxing Club,Boxing,Amateur,Gym Floor
3556,Neu-Ulm Boxing Club,Boxing,Amateur,Gym Floor
3557,Vallo Di Nera Stars,Basketball,Professional,Indoor Court
3558,East Lauramouth Track Club,Athletics,Amateur,Field
3559,South Russelltown Track Club,Athletics,Amateur,Field
3560,Beilngries Hoops,Basketball,Amateur,Outdoor Court
3561,San Cassiano Gym,Boxing,Amateur,Training Mat
3562,Seelow Academy,Tennis,Professional,Indoor Court
3563,Robinboeuf Basketball Club,Basketball,Amateur,Indoor Court
3564,Saint Catherine-la-Forêt Hoops,Basketball,Amateur,Indoor Court
3565,Ribnitz-Damgarten Academy,Tennis,Amateur,Hard Court
3566,Erbisdorf Academy,Tennis,Amateur,Grass
3567,Auerbach Academy,Tennis,Amateur,Grass
3568,Calau TC,Tennis,Amateur,Indoor Court
3569,Castelnuovo Dei Sabbioni Athletic Club,Athletics,Amateur,Track
3570,Huelva Tennis Club,Tennis,Professional,Indoor Court
3571,Sainte Emmanuel FC,Football,Amateur,Indoor Court
3572,West Trevor Rovers,Football,Amateur,Artificial Turf
3573,Port Bernard TC,Tennis,Amateur,Clay
3574,Hussainmouth United,Football,Amateur,Indoor Court
3575,Saarbrücken Tennis Club,Tennis,Professional,Hard Court
3576,Saint Théodore BC,Basketball,Amateur,Wooden Floor
3577,Joshualand Gym,Boxing,Amateur,Gym Floor
3578,Sainte Margot-la-Forêt Hoops,Basketball,Amateur,Wooden Floor
3579,Schmölln TC,Tennis,Amateur,Indoor Court
3580,Sebnitz Boxing Club,Boxing,Professional,Gym Floor
3581,Ryanhaven Athletic Club,Athletics,Amateur,Field
3582,Palencia Track Club,Athletics,Professional,Indoor Track
3583,Baleares Tennis Club,Tennis,Professional,Clay
3584,Morte TC,Tennis,Amateur,Hard Court
3585,Iserlohn BC,Boxing,Amateur,Gym Floor
3586,Monte Vidon Corrado AC,Athletics,Amateur,Track
3587,West Cliffordstad Athletic Club,Athletics,Amateur,Road
3588,Lopes Stars,Basketball,Amateur,Indoor Court
3589,Álava Basketball Club,Basketball,Amateur,Wooden Floor
3590,Brecciarola Basketball Club,Basketball,Amateur,Outdoor Court
3591,Zerbst AC,Athletics,Professional,Road
3592,San Sostene Marina Tennis Club,Tennis,Amateur,Indoor Court
3593,Barbaraburgh BC,Basketball,Amateur,Outdoor Court
3594,Prenzlau Hoops,Basketball,Amateur,Indoor Court
3595,Berger TC,Tennis,Amateur,Hard Court
3596,Wyattville Stars,Basketball,Professional,Indoor Court
3597,Cáceres Stars,Basketball,Amateur,Outdoor Court
3598,Techer AC,Athletics,Amateur,Track
3599,Roger-sur-Prévost Athletic Club,Athletics,Professional,Road
3600,Racale Basketball Club,Basketball,Professional,Wooden Floor
3601,Schwarzenberg FC,Football,Amateur,Artificial Turf
3602,Fossignano TC,Tennis,Amateur,Indoor Court
3603,Loweport AC,Athletics,Amateur,Road
3604,Schivenoglia Gym,Boxing,Amateur,Ring
3605,Laporte Tennis Club,Tennis,Amateur,Grass
3606,Foucher Tennis Club,Tennis,Amateur,Hard Court
3607,Oranienburg Athletic Club,Athletics,Amateur,Road
3608,New Sam Track Club,Athletics,Amateur,Field
3609,Granada Rovers,Football,Professional,Indoor Court
3610,East Kim FC,Football,Professional,Indoor Court
3611,León TC,Tennis,Professional,Hard Court
3612,Longobardi City,Football,Amateur,Indoor Court
3613,San Cataldo Di Bella Boxing Club,Boxing,Professional,Training Mat
3614,Erba City,Football,Amateur,Indoor Court
3615,Valladolid TC,Tennis,Amateur,Grass
3616,Delorme-sur-Mer Athletic,Football,Professional,Artificial Turf
3617,Ebersberg Track Club,Athletics,Amateur,Road
3618,Gaudinnec Track Club,Athletics,Amateur,Road
3619,Andre Hoops,Basketball,Professional,Indoor Court
3620,Vizcaya Academy,Tennis,Amateur,Grass
3621,North Philip Gym,Boxing,Amateur,Training Mat
3622,Castellón BC,Boxing,Amateur,Ring
3623,Bouchet Rovers,Football,Amateur,Artificial Turf
3624,Vizcaya Athletic Club,Athletics,Professional,Track
3625,Corbola BC,Boxing,Professional,Training Mat
3626,Port Hannah Boxing Club,Boxing,Professional,Training Mat
3627,San Gavino Hoops,Basketball,Amateur,Outdoor Court
3628,Barcelona Gym,Boxing,Amateur,Training Mat
3629,Tarragona Athletic Club,Athletics,Professional,Road
3630,Rachelhaven BC,Boxing,Amateur,Gym Floor
3631,Cappadocia Tennis Club,Tennis,Professional,Clay
3632,Rey AC,Athletics,Amateur,Road
3633,Port Carlyfurt AC,Athletics,Amateur,Field
3634,Strausberg Rovers,Football,Amateur,Artificial Turf
3635,Saint AiméeVille AC,Athletics,Professional,Track
3636,O'Connorport Athletic,Football,Amateur,Indoor Court
3637,Paul Gym,Boxing,Professional,Gym Floor
3638,Teruel AC,Athletics,Amateur,Track
3639,Labbé Tennis Club,Tennis,Professional,Grass
3640,Vizcaya Academy,Tennis,Amateur,Hard Court
3641,Cuenca AC,Athletics,Amateur,Indoor Track
3642,Teixeira Academy,Tennis,Amateur,Indoor Court
3643,Lavone Di Pezzaze Stars,Basketball,Amateur,Outdoor Court
3644,Murcia Boxing Club,Boxing,Amateur,Training Mat
3645,Offlaga Basketball Club,Basketball,Amateur,Indoor Court
3646,Cherylville Athletic Club,Athletics,Professional,Field
3647,West Adrian Hoops,Basketball,Professional,Wooden Floor
3648,Pößneck Athletic,Football,Amateur,Indoor Court
3649,Halltown United,Football,Professional,Grass
3650,Brownshire AC,Athletics,Professional,Indoor Track
3651,Leeburgh Gym,Boxing,Professional,Training Mat
3652,Renaud-sur-Mer Hoops,Basketball,Amateur,Indoor Court
3653,Mules City,Football,Amateur,Indoor Court
3654,Deschamps Basketball Club,Basketball,Professional,Wooden Floor
3655,New Damien Hoops,Basketball,Amateur,Outdoor Court
3656,Sainte Lucas-les-Bains Track Club,Athletics,Amateur,Track
3657,Neubrandenburg TC,Tennis,Amateur,Indoor Court
3658,Saarbrücken TC,Tennis,Professional,Hard Court
3659,Lindaborough Boxing Club,Boxing,Amateur,Ring
3660,Pattano AC,Athletics,Amateur,Road
3661,Lake Robinmouth Tennis Club,Tennis,Amateur,Clay
3662,Schwarzenberg FC,Football,Professional,Artificial Turf
3663,Sainte Émile-la-Forêt BC,Boxing,Amateur,Ring
3664,North Jane BC,Boxing,Professional,Gym Floor
3665,Klerant United,Football,Amateur,Artificial Turf
3666,Ebern Track Club,Athletics,Professional,Field
3667,Tabellano Boxing Club,Boxing,Professional,Ring
3668,Saint Madeleine AC,Athletics,Professional,Road
3669,Barcelona Track Club,Athletics,Amateur,Track
3670,Palazzo BC,Boxing,Amateur,Training Mat
3671,Asturias Track Club,Athletics,Amateur,Indoor Track
3672,Sauvage Boxing Club,Boxing,Amateur,Ring
3673,Marigliano Athletic,Football,Amateur,Grass
3674,Ravensburg TC,Tennis,Professional,Clay
3675,Lake Angela Boxing Club,Boxing,Amateur,Gym Floor
3676,Lake Jamie Tennis Club,Tennis,Amateur,Indoor Court
3677,Girard BC,Boxing,Professional,Ring
3678,Serra Di Pratola Serra Hoops,Basketball,Amateur,Outdoor Court
3679,San Martino Pizzolano Tennis Club,Tennis,Amateur,Indoor Court
3680,Civitella Alfedena Academy,Tennis,Amateur,Hard Court
3681,DelahayeVille Academy,Tennis,Professional,Indoor Court
3682,Couturier Academy,Tennis,Professional,Indoor Court
3683,West Elizabethchester Stars,Basketball,Professional,Wooden Floor
3684,Eisleben Academy,Tennis,Amateur,Grass
3685,Colas Gym,Boxing,Professional,Gym Floor
3686,Vindicio Di Formia FC,Football,Amateur,Indoor Court
3687,Lugo AC,Athletics,Amateur,Indoor Track
3688,La Rioja Basketball Club,Basketball,Amateur,Wooden Floor
3689,Salamanca Gym,Boxing,Amateur,Ring
3690,Mahe BC,Basketball,Professional,Indoor Court
3691,Merseburg Stars,Basketball,Amateur,Outdoor Court
3692,Mazara Del Vallo Gym,Boxing,Amateur,Ring
3693,Kronach United,Football,Amateur,Artificial Turf
